Object Type,Name,Type,Method,Input,Step Index,Test Case
Testing,TC_01,Acceptance,Automation,,,TC_01
JointLife and Cohort Cases,TC_01,Acceptance,Automation,,,PB_MMTPPlus_JointLife_Backend_Cases
